Last_Read_Heat_Zone_0,A_C3H4O2I_Avg,A_C2H2O3I_Avg,A_C2H4O3I_Avg,A_C3H2O3I_Avg,A_C3H4O3I_Avg,A_C2H2O4I_Avg,A_C2H4O4I_Avg,A_C4H2O3I_Avg,A_C4H4O3I_Avg,A_C4H6O3I_Avg,A_C3H4O4I_Avg,A_C2H2O5I_Avg,A_C5H4O3I_Avg,A_C4H2O4I_Avg,A_C5H6O3I_Avg,A_C4H4O4I_Avg,A_C4H6O4I_Avg,A_C3H4O5I_Avg,A_C2H3NO5I_Avg,A_C7H6O2I_Avg,A_C6H6O3I_Avg,A_C5H4O4I_Avg,A_C6H8O3I_Avg,A_C4H2O5I_Avg,A_C5H6O4I_Avg,A_C4H4O5I_Avg,A_C5H8O4I_Avg,A_C4H6O5I_Avg,A_C2H3NO6I_Avg,A_C7H6O3I_Avg,A_C6H5NO3I_Avg,A_C7H8O3I_Avg,A_C6H8O4I_Avg,A_C4H3NO5I_Avg,A_C5H5O5I_Avg,A_C5H6O5I_Avg,A_C4H4O6I_Avg,A_C5H8O5I_Avg,A_C3H3NO6I_Avg,A_C7H7NO3I_Avg,A_C7H6O4I_Avg,A_C6H5NO4I_Avg,A_C7H8O4I_Avg,A_C6H6O5I_Avg,A_C7H10O4I_Avg,A_C5H5NO5I_Avg,A_C6H8IO5_Avg,A_C4H3NO6I_Avg,A_C5H7INO5_Avg,A_C5H6O6I_Avg,A_C6H10IO5_Avg,A_C3H3NO7I_Avg,A_C7H7NO4I_Avg,A_C7H8O5I_Avg,A_C6H7NO5I_Avg,A_C7H10O5I_Avg,A_C5H5NO6I_Avg,A_C6H8IO6_Avg,A_C5H8IN2O5_Avg,A_C4H3NO7I_Avg,A_C6H10IO6_Avg,A_C4H5NO7I_Avg,A_C5H8O7I_Avg,A_C7H5NO5I_Avg,A_C7H8O6I_Avg,A_C6H7NO6I_Avg,A_C7H10O6I_Avg,A_C6H9INO6_Avg,A_C5H8IN2O6_Avg,A_C7H12IO6_Avg,A_C5H7NO7I_Avg,A_C5H10IN2O6_Avg,A_C7H6N2O5I_Avg,A_C6H5NO7I_Avg,A_C7H9NO6I_Avg,A_C7H8IO7_Avg,A_C6H7INO7_Avg,A_C7H10IO7_Avg,A_C5H5NO8I_Avg,A_C6H9INO7_Avg,A_C7H7NO7I_Avg,A_C7H9NO7I_Avg,A_C7H11INO7_Avg,A_C7H7NO8I_Avg,A_C7H10IN2O7_Avg,A_C7H9NO8I_Avg,A_C5H10IN2O9_Avg,A_C7H10IN2O8_Avg,A_C7H9NO9I_Avg,A_C6H6N2O10I_Avg,A_C7H8N2O10I_Avg,A_C7H8N2O11I_Avg,A_C6H5N3O12I_Avg,A_C7H7N3O12I_Avg
192.98001,4.56E-06,0.000315646,0.000553135,8.91E-05,0.000116493,0.000578113,1.08E-05,0,7.19E-05,5.10E-05,0.000438107,3.60E-06,7.40E-05,0.003375812,0,0.001219947,0.000312489,0.000161067,1.03E-05,2.60E-06,0.000164292,0.000590124,2.89E-05,0.000178518,0.000592969,0.000711159,0.000212318,0.000846187,1.48E-07,5.46E-05,1.29E-05,0.000203509,0.000358066,2.93E-05,1.14E-05,0.001294758,0.000504383,0.000991708,4.37E-05,2.03E-05,0.000272777,1.49E-05,0.000700351,0.001646593,0.000190169,8.65E-05,0.001933452,0,0.000139243,0.001372883,0.00074162,0,3.47E-05,0.002262326,0.000123621,0.003057396,0,0.001956567,0.001721963,0,0.002995622,0,0.00021339,1.41E-05,0.004564914,0.000132288,0.007788576,0.000458208,0.001481208,0.003816987,0,0.000652604,0.000163305,3.02E-05,8.71E-05,0.002743311,0.000165532,0.00415481,0,0.000282449,5.89E-05,0.000116762,0.000131721,8.73E-06,0.00043739,8.17E-05,0.00029987,0.000210195,4.13E-05,0,5.48E-05,1.36E-05,6.68E-06,0
193.90001,3.08E-06,0.0003153,0.000567898,8.50E-05,0.000117444,0.000558072,1.35E-05,0,7.38E-05,4.65E-05,0.000443939,0,7.08E-05,0.003425589,0,0.001266116,0.000316841,0.000185941,9.90E-06,2.06E-05,0.000168778,0.000571407,4.33E-05,0.000157999,0.000609399,0.000733506,0.000219463,0.000826309,4.41E-07,5.65E-05,1.14E-05,0.000202545,0.000356236,2.43E-05,8.54E-06,0.001315425,0.000495362,0.001010131,4.40E-05,2.02E-05,0.00028709,3.53E-05,0.00072168,0.001678545,0.00016882,9.29E-05,0.0019198,0,0.000141815,0.001422415,0.000733485,0,3.31E-05,0.002250973,0.000117141,0.003113532,0,0.001750081,0.001714509,0,0.002934255,0,0.000210407,9.38E-06,0.004544105,6.87E-05,0.007700766,0.000483357,0.001487276,0.003794639,0,0.000651226,0.000167464,2.84E-05,8.83E-05,0.002726854,0.000172734,0.004062483,0,0.000278249,5.46E-05,0.000108608,0.000127696,4.35E-06,0.000414161,8.27E-05,0.000300933,0.000225689,4.34E-05,1.16E-06,5.51E-05,1.78E-05,7.26E-06,0
194.96001,4.13E-06,0.000324669,0.000597918,9.19E-05,0.000122329,0.000608553,1.03E-05,0,7.99E-05,4.11E-05,0.000451621,5.17E-06,7.71E-05,0.003487729,0,0.001235495,0.000326385,0.000174225,9.73E-06,0,0.000181994,0.000578294,5.01E-05,0.000165595,0.000623034,0.000756847,0.00022075,0.000827517,1.33E-07,4.68E-05,1.33E-05,0.00021582,0.000366821,1.96E-05,4.82E-06,0.001415323,0.000503809,0.000999062,4.68E-05,1.96E-05,0.000294982,3.55E-05,0.000747516,0.001670169,0.000172133,9.22E-05,0.001938175,0,0.000146537,0.001425135,0.000741752,0,3.46E-05,0.002289118,0.000129865,0.003114743,0,0.001848614,0.001673372,0,0.002941084,0,0.000215991,6.08E-07,0.004554383,0.00010182,0.007692017,0.000477311,0.001501735,0.003761304,0,0.000671907,0.000166901,1.30E-05,8.94E-05,0.002722129,0.000166713,0.004136708,0,0.000304595,5.97E-05,0.000121325,0.000131845,1.37E-05,0.000393151,7.77E-05,0.000309988,0.00021812,4.36E-05,3.03E-06,5.79E-05,9.77E-06,8.42E-06,0
195.98001,5.30E-06,0.000312317,0.000620369,8.37E-05,0.000125065,0.000605439,1.18E-05,0,7.99E-05,3.68E-05,0.000449363,4.53E-06,8.00E-05,0.0034336,0,0.001253311,0.000328805,0.000179842,1.07E-05,1.53E-05,0.000193093,0.000641048,4.25E-05,0.000167557,0.000622486,0.000748872,0.000233647,0.000830564,1.01E-06,5.90E-05,1.57E-05,0.00021393,0.000364717,2.03E-05,7.26E-06,0.001353481,0.000501236,0.000977022,4.35E-05,2.77E-05,0.000298209,1.23E-05,0.000758082,0.001634709,0.000197299,7.18E-05,0.001948412,0,0.000141538,0.001413029,0.000722402,0,3.63E-05,0.00222652,0.00010449,0.00300894,0,0.001522319,0.001716216,0,0.002925006,0,0.00022355,1.57E-06,0.004521712,8.03E-05,0.007626455,0.000459171,0.001427082,0.003797121,0,0.00067096,0.000171857,3.72E-05,8.56E-05,0.002692838,0.000167002,0.004055056,0,0.000294267,5.94E-05,0.000110962,0.000134043,3.24E-06,0.000428515,8.48E-05,0.000303037,0.000225206,4.51E-05,0,6.08E-05,1.93E-05,7.59E-06,0
196.87999,2.97E-06,0.000330603,0.000637825,9.48E-05,0.000129245,0.000609372,1.30E-05,0,7.83E-05,4.66E-05,0.000456374,3.34E-06,8.09E-05,0.003492386,0,0.001256459,0.000328246,0.000172646,9.66E-06,9.85E-06,0.000194115,0.000610238,3.97E-05,0.000153464,0.0006358,0.000776529,0.000226324,0.000817583,1.55E-07,5.14E-05,1.54E-05,0.000225586,0.000367054,1.09E-05,9.54E-06,0.00135909,0.00048329,0.000995055,4.58E-05,2.09E-05,0.000306934,1.32E-05,0.000771945,0.001652264,0.000174556,9.39E-05,0.001954591,0,0.00014383,0.001431267,0.000721646,0,3.67E-05,0.002252429,0.000128151,0.002960586,0,0.001669722,0.001696899,0,0.002907539,0,0.000223708,9.91E-06,0.004536981,8.30E-05,0.007592802,0.000431028,0.001461853,0.003728946,0,0.000654517,0.000172635,2.27E-05,8.87E-05,0.002677477,0.00017132,0.004045144,0,0.000270074,6.00E-05,0.000114032,0.000131831,0,0.000451759,8.46E-05,0.000310023,0.000221169,4.50E-05,1.29E-06,6.05E-05,2.76E-05,8.32E-06,0
197.84,4.20E-06,0.000325111,0.000641794,8.71E-05,0.000127739,0.000583003,9.82E-06,0,8.13E-05,5.02E-05,0.000455604,2.06E-06,8.20E-05,0.003460043,0,0.001253445,0.00033079,0.000175189,1.03E-05,1.42E-05,0.000192662,0.000607582,5.01E-05,0.000145263,0.000647398,0.0007644,0.000226731,0.000829385,0,5.22E-05,1.14E-05,0.000217166,0.000377662,2.06E-05,4.38E-06,0.00131842,0.000495082,0.00094,4.39E-05,2.11E-05,0.000313645,1.75E-05,0.000766013,0.001617551,0.00018883,8.18E-05,0.001951835,0,0.000142585,0.001369988,0.000724761,0,3.62E-05,0.002219647,0.00014609,0.00297273,0,0.001797239,0.001592817,0,0.002890244,0,0.00022256,9.62E-06,0.004505165,8.96E-05,0.007529361,0.000456006,0.001466072,0.003628698,0,0.000663831,0.000171124,3.32E-05,8.47E-05,0.002652026,0.000164539,0.00401237,0,0.000269311,5.80E-05,0.000110352,0.000136803,7.07E-06,0.000437236,8.20E-05,0.000307219,0.000225952,4.48E-05,0,5.70E-05,2.71E-05,8.67E-06,0
198.56,3.65E-06,0.000307568,0.000639699,8.55E-05,0.000125302,0.00057499,9.22E-06,0,8.00E-05,3.81E-05,0.000452906,4.73E-06,8.07E-05,0.003435769,0,0.001210778,0.000322216,0.000167131,1.06E-05,4.94E-06,0.000192953,0.000584494,4.92E-05,0.000167708,0.000626069,0.000765919,0.00022037,0.00080366,4.08E-07,5.13E-05,1.10E-05,0.00019937,0.000363826,1.99E-05,1.12E-05,0.001319391,0.000480435,0.000912325,4.62E-05,2.35E-05,0.000314989,1.32E-05,0.000732406,0.001591045,0.000162754,7.73E-05,0.001919508,0,0.000140274,0.001379429,0.000719216,0,3.51E-05,0.002195559,0.000122345,0.002803586,0,0.001802943,0.001594515,0,0.002846754,0,0.000218555,0,0.00444559,0.000133476,0.00743918,0.000449179,0.001483121,0.003495029,0,0.000658187,0.000174262,2.14E-05,8.99E-05,0.00262122,0.000164253,0.003928402,0,0.000271952,5.99E-05,0.000115269,0.000134569,1.11E-05,0.000396669,8.30E-05,0.000308724,0.000226897,4.56E-05,7.08E-06,5.94E-05,2.42E-05,7.70E-06,0
199.05998,3.11E-06,0.000307368,0.000623407,8.19E-05,0.000121693,0.000583066,1.11E-05,0,7.50E-05,3.65E-05,0.000441407,8.52E-07,8.24E-05,0.003424167,0,0.001208497,0.000317032,0.000164107,1.08E-05,1.38E-05,0.000182317,0.000592595,4.12E-05,0.000151876,0.000618323,0.000738457,0.000218424,0.000781775,0,5.85E-05,1.68E-05,0.00021007,0.000359088,7.44E-06,1.25E-05,0.001333095,0.000473284,0.000943969,4.62E-05,2.00E-05,0.000291536,1.82E-05,0.000732027,0.001549762,0.000173253,7.18E-05,0.001882754,0,0.000136749,0.001359629,0.000709956,0,3.84E-05,0.002139411,0.000123434,0.00287054,0,0.001986687,0.001554737,0,0.002805844,0,0.000215392,1.18E-05,0.00435724,0.000110599,0.007328048,0.000450808,0.001442957,0.00358482,0,0.000643728,0.000170351,2.89E-05,8.62E-05,0.002608723,0.000160711,0.003928625,0,0.000280847,5.60E-05,0.000102551,0.00013083,1.27E-05,0.000391913,7.68E-05,0.000295892,0.000213317,4.40E-05,0,6.08E-05,8.53E-06,7.86E-06,0
199.36002,3.88E-06,0.000291343,0.000601965,8.44E-05,0.000119508,0.000547159,9.56E-06,0,7.08E-05,4.34E-05,0.000431346,3.44E-06,8.07E-05,0.003377345,0,0.001145162,0.000297679,0.00015929,1.08E-05,0,0.00017957,0.000569153,5.55E-05,0.000142848,0.000600136,0.000705872,0.000212105,0.000772974,3.54E-07,4.81E-05,1.54E-05,0.000197011,0.000353228,2.27E-05,7.10E-06,0.001252257,0.000475326,0.000880958,4.18E-05,2.23E-05,0.00029242,1.63E-05,0.000689676,0.001578968,0.000173535,7.97E-05,0.001833217,0,0.000136108,0.001338905,0.000708346,0,3.62E-05,0.00209821,0.000108238,0.002743124,0,0.001709985,0.001536483,0,0.00276431,0,0.000213773,1.31E-05,0.004248534,7.94E-05,0.007220187,0.000444859,0.00140355,0.003436839,0,0.000637098,0.000162565,2.54E-05,9.01E-05,0.002530722,0.000159228,0.003852907,0,0.00025473,5.88E-05,0.000103299,0.00013069,2.29E-05,0.000428516,8.07E-05,0.000293062,0.000196009,4.32E-05,2.94E-06,5.88E-05,1.66E-05,7.47E-06,0
199.40001,3.37E-06,0.000282765,0.00057263,7.19E-05,0.000116022,0.000537644,1.08E-05,0,7.06E-05,4.79E-05,0.000425169,4.53E-06,7.57E-05,0.003363052,0,0.001103741,0.000295203,0.000159192,1.06E-05,5.52E-06,0.000174202,0.000562823,4.60E-05,0.000156114,0.000594788,0.000682372,0.000209994,0.000745657,8.68E-08,5.15E-05,1.25E-05,0.000207885,0.000355303,1.59E-05,2.68E-06,0.001204295,0.000466839,0.000856609,4.11E-05,2.37E-05,0.000283306,0,0.000672238,0.001499262,0.000160331,7.88E-05,0.001774603,0,0.000133318,0.001327515,0.000692591,0,3.49E-05,0.002016163,0.000113483,0.002673362,0,0.001653066,0.001591787,1.07E-06,0.002725723,0,0.000212437,1.90E-05,0.004165109,3.72E-05,0.007081255,0.000430068,0.001395734,0.003324754,0,0.000621072,0.000162516,2.71E-05,8.30E-05,0.002505285,0.000154795,0.003818066,0,0.000269314,5.47E-05,0.000103433,0.000127822,1.11E-05,0.000422527,7.73E-05,0.000282768,0.000200894,4.17E-05,0,5.48E-05,2.04E-05,7.05E-06,0
